id,name,created_at,updated_at,parent_id
1,レディース,2019-12-3 12:00:00,2019-12-4 12:00:00,
2,トップス,2019-12-3 12:00:00,2019-12-4 12:00:00,1
3,Tシャツ/カットソー(半袖/袖なし),2019-12-3 12:00:00,2019-12-4 12:00:00,2
4,Tシャツ/カットソー(七分/長袖),2019-12-3 12:00:00,2019-12-4 12:00:00,2
5,シャツ/ブラウス(半袖/袖なし),2019-12-3 12:00:00,2019-12-4 12:00:00,2
6,シャツ/ブラウス(七分/長袖),2019-12-3 12:00:00,2019-12-4 12:00:00,2
7,ポロシャツ,2019-12-3 12:00:00,2019-12-4 12:00:00,2
8,キャミソール,2019-12-3 12:00:00,2019-12-4 12:00:00,2
9,タンクトップ,2019-12-3 12:00:00,2019-12-4 12:00:00,2
10,ホルターネック,2019-12-3 12:00:00,2019-12-4 12:00:00,2
11,ニット/セーター,2019-12-3 12:00:00,2019-12-4 12:00:00,2
12,チュニック,2019-12-3 12:00:00,2019-12-4 12:00:00,2
13,カーディガン/ボレロ,2019-12-3 12:00:00,2019-12-4 12:00:00,2
14,アンサンブル,2019-12-3 12:00:00,2019-12-4 12:00:00,2
15,ベスト/ジレ,2019-12-3 12:00:00,2019-12-4 12:00:00,2
16,パーカー,2019-12-3 12:00:00,2019-12-4 12:00:00,2
17,トレーナー/スウェット,2019-12-3 12:00:00,2019-12-4 12:00:00,2
18,ベアトップ/チューブトップ,2019-12-3 12:00:00,2019-12-4 12:00:00,2
19,ジャージ,2019-12-3 12:00:00,2019-12-4 12:00:00,2
20,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,2
21,ジェケット/アウター,2019-12-3 12:00:00,2019-12-4 12:00:00,1
22,テーラードジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,21
23,ノーカラージャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,21
24,Gジャン/デニムジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,21
25,レザージャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,21
26,ダウンジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,21
27,ライダースジャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,21
28,ミリタリージャケット,2019-12-3 12:00:00,2019-12-4 12:00:00,21
29,ダウンベスト,2019-12-3 12:00:00,2019-12-4 12:00:00,21
30,ジャンパー/ブルゾン,2019-12-3 12:00:00,2019-12-4 12:00:00,21
31,ポンチョ,2019-12-3 12:00:00,2019-12-4 12:00:00,21
32,ロングコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
33,トレンチコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
34,ダッフルコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
35,ピーコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
36,チェスターコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
37,モッズコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
38,スタジャン,2019-12-3 12:00:00,2019-12-4 12:00:00,21
39,毛皮/ファーコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
40,スプリングコート,2019-12-3 12:00:00,2019-12-4 12:00:00,21
41,スカジャン,2019-12-3 12:00:00,2019-12-4 12:00:00,21
42,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,21
43,パンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,1
44,デニム/ジーンズ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
45,ショートパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
46,カジュアルパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
47,ハーフパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
48,チノパン,2019-12-3 12:00:00,2019-12-4 12:00:00,43
49,ワークパンツ/カーゴパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
50,クロップドパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
51,サロペット/オーバーオール,2019-12-3 12:00:00,2019-12-4 12:00:00,43
52,オールインワン,2019-12-3 12:00:00,2019-12-4 12:00:00,43
53,サルエルパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
54,ガウチョパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,43
55,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,43
56,スカート,2019-12-3 12:00:00,2019-12-4 12:00:00,1
57,ミニスカート,2019-12-3 12:00:00,2019-12-4 12:00:00,56
58,ひざ丈スカート,2019-12-3 12:00:00,2019-12-4 12:00:00,56
59,ロングスカート,2019-12-3 12:00:00,2019-12-4 12:00:00,56
60,キュロット,2019-12-3 12:00:00,2019-12-4 12:00:00,56
61,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,56
62,ワンピース,2019-12-3 12:00:00,2019-12-4 12:00:00,1
63,ミニワンピース,2019-12-3 12:00:00,2019-12-4 12:00:00,62
64,ひざ丈ワンピース,2019-12-3 12:00:00,2019-12-4 12:00:00,62
65,ロングワンピース,2019-12-3 12:00:00,2019-12-4 12:00:00,62
66,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,62
67,靴,2019-12-3 12:00:00,2019-12-4 12:00:00,1
68,ハイヒール/パンプス,2019-12-3 12:00:00,2019-12-4 12:00:00,67
69,ブーツ,2019-12-3 12:00:00,2019-12-4 12:00:00,67
70,サンダル,2019-12-3 12:00:00,2019-12-4 12:00:00,67
71,スニーカー,2019-12-3 12:00:00,2019-12-4 12:00:00,67
72,ミュール,2019-12-3 12:00:00,2019-12-4 12:00:00,67
73,モカシン,2019-12-3 12:00:00,2019-12-4 12:00:00,67
74,ローファー/革靴,2019-12-3 12:00:00,2019-12-4 12:00:00,67
75,フラットシューズ/バレエシューズ,2019-12-3 12:00:00,2019-12-4 12:00:00,67
76,長靴/レインシューズ,2019-12-3 12:00:00,2019-12-4 12:00:00,67
77,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,67
78,ルームウェア/パジャマ,2019-12-3 12:00:00,2019-12-4 12:00:00,1
79,パジャマ,2019-12-3 12:00:00,2019-12-4 12:00:00,78
80,ルームウェア,2019-12-3 12:00:00,2019-12-4 12:00:00,78
81,レッグウェア,2019-12-3 12:00:00,2019-12-4 12:00:00,1
82,ソックス,2019-12-3 12:00:00,2019-12-4 12:00:00,81
83,スパッツ/レギンス,2019-12-3 12:00:00,2019-12-4 12:00:00,81
84,ストッキング/タイツ,2019-12-3 12:00:00,2019-12-4 12:00:00,81
85,レッグウォーマー,2019-12-3 12:00:00,2019-12-4 12:00:00,81
86,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,81
87,帽子,2019-12-3 12:00:00,2019-12-4 12:00:00,1
88,ニットキャップ/ビーニー,2019-12-3 12:00:00,2019-12-4 12:00:00,88
